ensembl_gene_id,gene_symbol,gene_type,gene_set,symbol_mapping_count,n_samples,zero_n,below_0_1_tpm_n,all_zero,near_zero_expression,near_zero_log_variance,mean_tpm,median_tpm,max_tpm,mean_log2_tpm1,sd_log2_tpm1,p05_log2_tpm1,p95_log2_tpm1
ENSG00000287352.1,AC011029.1,lncRNA,other,1,113,76,83,False,False,False,0.5101566371681416,0.0,9.3392,0.33432833251163013,0.7079355162282142,0.0,2.123305209791927
ENSG00000287353.1,AC135776.5,unprocessed_pseudogene,other,1,113,112,113,False,True,False,0.0003716814159292036,0.0,0.042,0.0005252679435081525,0.005558913400787584,0.0,0.0
ENSG00000287354.1,AL034351.4,lncRNA,other,1,113,16,37,False,False,False,0.6856495575221239,0.1936,12.7435,0.5017129040783147,0.6799831361935693,0.0,2.0177418977131656
ENSG00000287355.1,AL451123.2,lncRNA,other,1,113,46,97,False,False,False,0.04878938053097345,0.0337,0.481,0.0657428619327024,0.0901077011211669,0.0,0.21436192953831945
ENSG00000287356.1,AL590822.3,lncRNA,other,1,113,0,3,False,False,False,0.6857504424778761,0.4668,5.8568,0.6658653353791756,0.4628198788863453,0.16600427425438408,1.603591699873974
ENSG00000287357.1,AL512484.1,lncRNA,other,1,113,93,110,False,True,False,0.013287610619469026,0.0,0.6756,0.01681412343689578,0.07432317274332924,0.0,0.07614859718008292
ENSG00000287358.1,AL096706.1,lncRNA,other,1,113,67,102,False,True,False,0.0347646017699115,0.0,0.5249,0.04545297573520829,0.10115941460959685,0.0,0.2369660644829543
ENSG00000287359.1,AL138740.1,lncRNA,other,1,113,75,103,False,True,False,0.030017699115044247,0.0,0.7158,0.03963309627558446,0.08822186677261606,0.0,0.15499638303099286
ENSG00000287360.1,AC006296.3,lncRNA,other,1,113,94,106,False,True,False,0.02437787610619469,0.0,1.5019,0.02695843567041692,0.12972925687627945,0.0,0.1414768977769533
ENSG00000287361.1,AL355537.2,lncRNA,other,1,113,109,113,False,True,False,0.0009106194690265486,0.0,0.0386,0.0012948463855562199,0.007231123961912139,0.0,0.0
ENSG00000287362.1,AC103563.9,lncRNA,other,1,113,5,36,False,False,False,0.24124513274336284,0.1817,1.7723,0.28823877969451084,0.24690926306184513,0.04065164282938634,0.7443783523706806
ENSG00000287363.2,AL096814.2,protein_coding,other,1,113,109,113,False,True,False,0.0012353982300884955,0.0,0.0578,0.001746717007588018,0.009903709807694684,0.0,0.0
ENSG00000287364.1,AL353709.1,lncRNA,other,1,113,69,109,False,True,False,0.032667256637168136,0.0,1.5547,0.035548279634447545,0.1541489587770969,0.0,0.12194340462761014
ENSG00000287365.1,AC068787.4,lncRNA,other,1,113,110,113,False,True,False,0.000920353982300885,0.0,0.039,0.0013049873742179137,0.007957823789265857,0.0,0.0
ENSG00000287366.1,AC072026.3,lncRNA,other,1,113,103,107,False,True,False,0.0108929203539823,0.0,0.3601,0.014522111600214197,0.05467723922432314,0.0,0.13679294042734885
ENSG00000287367.1,AC016583.2,lncRNA,other,1,113,4,48,False,False,False,0.1468070796460177,0.1202,0.7417,0.18898337382571237,0.15349003382893397,0.016838562472378416,0.5423470003476142
ENSG00000287368.1,AL589645.1,lncRNA,other,1,113,63,87,False,False,False,0.1261575221238938,0.0,5.4522,0.12004991477028995,0.29938539787222695,0.0,0.45189455872882206
ENSG00000287369.1,AC111197.1,lncRNA,other,1,113,14,24,False,False,False,0.4339911504424778,0.2689,2.9164,0.45696877185395,0.399990726577323,0.0,1.205044039905603
ENSG00000287370.1,AL356317.1,lncRNA,other,1,113,65,87,False,False,False,0.06055752212389381,0.0,0.3608,0.08014762025611465,0.11399211313718517,0.0,0.33083367973852945
ENSG00000287372.1,AL627316.1,lncRNA,other,1,113,90,111,False,True,False,0.009583185840707964,0.0,0.323,0.012776690956951586,0.05120575813551877,0.0,0.04238761156122719
ENSG00000287373.1,AL122014.1,lncRNA,other,1,113,65,98,False,False,False,0.13232920353982303,0.0,5.3645,0.10892365156539227,0.35677148511698564,0.0,0.8048702491677285
ENSG00000287374.1,AC239860.4,lncRNA,other,1,113,82,113,False,True,False,0.010594690265486727,0.0,0.0979,0.01493910636839697,0.027504674530465425,0.0,0.07573607385354937
ENSG00000287375.1,AC098825.1,lncRNA,other,1,113,107,111,False,True,False,0.012193805309734513,0.0,0.966,0.013675245091848831,0.09397207729133333,0.0,0.030185669705004366
