donor_sample_id,cell_class,subtype,n_cells,library_counts,HORMAD1,HORMAD2,STAG3,REC8,SMC1B,SYCP2,SYCP3,MSH4,MSH5,candidate_mean_z,HORMAD1_log2cpm1,HORMAD1_z,HORMAD2_log2cpm1,HORMAD2_z,STAG3_log2cpm1,STAG3_z,REC8_log2cpm1,REC8_z,SMC1B_log2cpm1,SMC1B_z,SYCP2_log2cpm1,SYCP2_z,SYCP3_log2cpm1,SYCP3_z,MSH4_log2cpm1,MSH4_z,MSH5_log2cpm1,MSH5_z,eligible
CID44041,immune,TNBC,1023.0,2468196.0,0.0,0.0,36.0,32.0,1.0,6.0,3.0,0.0,4.0,0.3094360523016068,0.0,-0.5785266577233207,0.0,-0.22755448660827807,3.9621373058767557,1.6648110234897988,3.80373692387213,1.3646302877258418,0.4907284688793238,-0.05317867315226301,1.778597697748238,-0.32948184188512064,1.1476079915251851,0.5265591889584051,0.0,-0.33706024511619076,1.3899064324063817,0.7547258750255883,True
CID44041,normal_epithelial,TNBC,151.0,1370666.0,0.0,0.0,3.0,7.0,0.0,47.0,5.0,0.0,3.0,0.38872019603418884,0.0,-0.5785266577233207,0.0,-0.22755448660827807,1.6729760715484514,-0.14833513069630905,2.6104653511874782,0.19572003861308487,0.0,-0.5716899148887299,5.141183434697096,2.0049309666634207,2.2165671399898477,2.0207900271820285,0.0,-0.33706024511619076,1.6729760715484514,1.1402071668819935,True
CID44041,stromal,TNBC,957.0,3795551.0,0.0,0.0,12.0,13.0,0.0,13.0,3.0,0.0,1.0,-0.2749660869609778,0.0,-0.5785266577233207,0.0,-0.22755448660827807,2.057137021897117,0.155942234859178,2.1456978839018643,-0.25955893425481524,0.0,-0.5716899148887299,2.1456978839018643,-0.07462934335666072,0.8402811961694424,0.09696636897780882,0.0,-0.33706024511619076,0.33738725094639593,-0.6785838045377917,True
CID4461,immune,ER+,153.0,204535.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5330705944396882,0.0,-0.5785266577233207,0.0,-0.22755448660827807,2.558056671193427,0.5526991439217057,2.558056671193427,0.1443813118807532,0.0,-0.5716899148887299,0.0,-1.56424031993834,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID4461,malignant_epithelial,ER+,207.0,491668.0,0.0,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0,0.2832127408223555,0.0,-0.5785266577233207,0.0,-0.22755448660827807,1.6011701050736258,-0.20520954828168675,3.1914949292608426,0.7648875645934446,0.0,-0.5716899148887299,4.41541578931402,1.501080233938405,1.6011701050736258,1.160565173272565,0.0,-0.33706024511619076,1.6011701050736258,1.0424225482149903,True
CID4461,stromal,ER+,271.0,173597.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.15490371585448273,0.0,-0.5785266577233207,0.0,-0.22755448660827807,4.192305017503727,1.8471169680847035,2.7571231669347753,0.33938375093451295,0.0,-0.5716899148887299,2.7571231669347753,0.3498413241117515,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID4463,immune,ER+,318.0,1068155.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.3838792785454477,0.0,-0.5785266577233207,0.0,-0.22755448660827807,2.917117788578313,0.8370960113600102,1.5222503564036745,-0.8702784228931579,0.0,-0.5716899148887299,0.0,-1.56424031993834,0.0,-1.0776099260089413,0.0,-0.33706024511619076,1.5222503564036745,0.9349504549079185,True
CID4463,malignant_epithelial,ER+,659.0,7556646.0,0.0,0.0,14.0,14.0,0.0,725.0,6.0,0.0,22.0,0.19879225723628033,0.0,-0.5785266577233207,0.0,-0.22755448660827807,1.5123147817956784,-0.27558802807786703,1.5123147817956784,-0.8800111570468612,0.0,-0.5716899148887299,6.5990504724749295,3.017028130091392,0.8431823460016923,0.101021704068847,0.0,-0.33706024511619076,1.9676646213063764,1.5415109704275314,True
CID4463,normal_epithelial,ER+,26.0,412688.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,-0.5569648618765795,0.0,-0.5785266577233207,0.0,-0.22755448660827807,0.0,-1.4734275202952951,1.775319479753819,-0.6223758508471045,0.0,-0.5716899148887299,3.713221836255396,1.0135951000744963,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID4463,stromal,ER+,135.0,541663.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,-0.35345039845004955,0.0,-0.5785266577233207,0.0,-0.22755448660827807,1.509019982177801,-0.2781976971419691,1.509019982177801,-0.8832386914407668,1.509019982177801,1.0227637889100716,2.7089594903508627,0.31640458455480114,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID4465,immune,TNBC,440.0,681026.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,-0.29263592986272463,1.9770034271607808,0.6485820235497558,0.0,-0.22755448660827807,1.9770034271607808,0.09247186110897386,3.0603697225213193,0.6364393541579785,0.0,-0.5716899148887299,1.3035602553760663,-0.6592677794832384,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID4465,malignant_epithelial,TNBC,124.0,343481.0,35.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-0.2701595775308735,6.685070031425123,3.5708376568652493,0.0,-0.22755448660827807,0.0,-1.4734275202952951,0.0,-2.3614511651654997,0.0,-0.5716899148887299,3.9594776867474577,1.1845536589156762,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
CID4465,normal_epithelial,TNBC,10.0,25937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,False
CID4465,stromal,TNBC,990.0,826927.0,3.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,-0.3360059038946966,2.210354500387006,0.7934209873099352,0.0,-0.22755448660827807,1.143587107225849,-0.5676413596923366,2.5452731273997085,0.1318587514657415,0.0,-0.5716899148887299,2.210354500387006,-0.02974268603761745,0.0,-1.0776099260089413,0.0,-0.33706024511619076,0.0,-1.1380342554758518,True
