dependency,depmap_column,N,beta,se,ci_low,ci_high,p,N_adjusted,beta_adjusted,se_adjusted,ci_low_adjusted,ci_high_adjusted,p_adjusted,fdr,fdr_adjusted,stronger_dependency_high_signature,annotation
IL25,IL25 (64806),25,-0.007656779659547333,0.04143368708767902,-0.09336889178119567,0.078055332462101,0.8550088537802374,25,-0.007230559754454292,0.04593050926728975,-0.10248460591900226,0.08802348641009368,0.8763466804393569,0.9996683886512429,0.9961651794429218,True,
HLA-G,HLA-G (3135),25,0.004493271883998983,0.03844101660122564,-0.07502802966037113,0.08401457342836909,0.9079639405003761,25,-0.006630580324328332,0.042169127860217176,-0.0940839988906336,0.08082283824197692,0.8764916113178827,0.9996683886512429,0.9961651794429218,True,
MAP2K1,MAP2K1 (5604),25,-0.04923349350493056,0.06696766956703969,-0.18776667280681478,0.08929968579695366,0.46965883986387535,25,0.01045733644920261,0.06652829891037981,-0.1275139109145021,0.1484285838129073,0.8765317147363999,0.9996683886512429,0.9961651794429218,False,
MRPS12,MRPS12 (6183),25,-0.08225916865406334,0.10676041237130206,-0.30310990819743244,0.13859157088930574,0.44884463202567626,25,-0.01773986664474915,0.1128658784805339,-0.2518093723108557,0.21632963902135738,0.8765393183434674,0.9996683886512429,0.9961651794429218,True,
LAPTM4A,LAPTM4A (9741),25,0.0027402585595127016,0.04027950461316049,-0.0805842452024106,0.08606476232143599,0.9463488616060293,25,-0.006964773194055673,0.04432928924960971,-0.0988980922881482,0.08496854590003687,0.8765876376330977,0.9996683886512429,0.9961651794429218,True,
HS6ST1,HS6ST1 (9394),25,-0.0035633581057587407,0.060630016263534196,-0.12898610266914898,0.12185938645763149,0.9536412282505002,25,-0.010540130770241955,0.06710074192257078,-0.14969855227983936,0.12861829073935543,0.8766151129341223,0.9996683886512429,0.9961651794429218,True,
ACTR6,ACTR6 (64431),25,-0.036410092196113276,0.09494108826686123,-0.23281069698082166,0.15999051258859512,0.7048696655360819,25,0.015888689811075433,0.1012119467310309,-0.19401204066454533,0.2257894202866962,0.8766889929459079,0.9996683886512429,0.9961651794429218,False,
KLC4,KLC4 (89953),25,-0.028167915427432213,0.05077999009437107,-0.13321432839315642,0.076878497538292,0.5844509660738806,25,-0.008669354191896147,0.0552539167714974,-0.12325896408051455,0.10592025569672227,0.8767544627405315,0.9996683886512429,0.9961651794429218,True,
NMI,NMI (9111),25,0.012126186295653462,0.06497069080872075,-0.12227592769998916,0.14652830029129607,0.8535787182377351,25,0.011293168870269977,0.07202147498680038,-0.13807022841557798,0.16065656615611795,0.8768303690844991,0.9996683886512429,0.9961651794429218,False,
MARCKS,MARCKS (4082),25,0.011666809018589797,0.07043681695425001,-0.1340428484275124,0.157376466464692,0.8698914436408142,25,-0.012063492838469867,0.0769763951980549,-0.17170276570405182,0.1475757800271121,0.8768973610409142,0.9996683886512429,0.9961651794429218,True,
