gene,domain,endpoint,N,effect,effect_measure,ci_low,ci_high,p,fdr,support,note
HORMAD2,METABRIC,RFS,258.0,0.00815743368202263,log hazard ratio per predictor SD,-0.17951543007934456,0.1958302974433898,0.9321085403699707,0.9321085403699707,does_not_support,Gene-weighted CNA proxy is not HRD scar
HORMAD2,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
HORMAD2,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
HORMAD2,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
HORMAD2,single_cell,malignant_vs_nonmalignant_combined,8.0,0.012555381249973973,paired mean difference in log2(CPM+1),0.0,0.035839467875676274,0.5,0.625,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
HORMAD2,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
HORMAD2,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
STAG3,TCGA_HRD,HRD_total,103.0,2.534584373639293,linear regression coefficient per predictor unit,-1.6555580480621708,6.724726795340757,0.2329684685358428,0.2620895271028232,does_not_support,Frozen TCGA discovery; not external replication
STAG3,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
STAG3,METABRIC,altered_gene_fraction,258.0,0.01647420714733726,linear regression coefficient per predictor unit,-0.012336695134303709,0.04528510942897823,0.26120311655749395,0.4701656098034891,does_not_support,Gene-weighted CNA proxy is not HRD scar
STAG3,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
STAG3,METABRIC,OS,258.0,-0.07642558882073877,log hazard ratio per predictor SD,-0.25286641363550366,0.10001523599402615,0.3959029228934795,0.5090180437201879,does_not_support,Gene-weighted CNA proxy is not HRD scar
STAG3,METABRIC,RFS,258.0,-0.21040765929394575,log hazard ratio per predictor SD,-0.41345685562322043,-0.0073584629646710475,0.042255735729882074,0.38030162156893865,does_not_support,Gene-weighted CNA proxy is not HRD scar
STAG3,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
STAG3,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
STAG3,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
STAG3,single_cell,malignant_vs_nonmalignant_combined,8.0,-1.32001381944281,paired mean difference in log2(CPM+1),-1.9202008474038001,-0.6731378040919116,0.015625,0.0703125,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
STAG3,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
STAG3,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
REC8,TCGA_HRD,HRD_total,103.0,3.0173025285649144,linear regression coefficient per predictor unit,-1.520198688756512,7.554803745886341,0.1901112661623739,0.2444287707801951,does_not_support,Frozen TCGA discovery; not external replication
REC8,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
REC8,METABRIC,altered_gene_fraction,258.0,-0.001223732434744225,linear regression coefficient per predictor unit,-0.030105503941425447,0.027658039071936997,0.9335677359551926,0.9335677359551925,does_not_support,Gene-weighted CNA proxy is not HRD scar
REC8,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
REC8,METABRIC,OS,258.0,-0.1373358358340121,log hazard ratio per predictor SD,-0.312563712673731,0.03789204100570681,0.12450580913071028,0.4901850100539865,does_not_support,Gene-weighted CNA proxy is not HRD scar
REC8,METABRIC,RFS,258.0,-0.1678361129182225,log hazard ratio per predictor SD,-0.36857102524188634,0.032898799405441354,0.10126699788074031,0.4557014904633314,does_not_support,Gene-weighted CNA proxy is not HRD scar
REC8,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
REC8,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
REC8,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
REC8,single_cell,malignant_vs_nonmalignant_combined,8.0,-1.9261485665651978,paired mean difference in log2(CPM+1),-2.494974262123013,-1.4024470898414683,0.0078125,0.0703125,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
REC8,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
REC8,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
SMC1B,TCGA_HRD,HRD_total,103.0,5.803899113281866,linear regression coefficient per predictor unit,1.546149757628723,10.061648468935008,0.0080383029681695,0.0361723633567631,supports,Frozen TCGA discovery; not external replication
SMC1B,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SMC1B,METABRIC,altered_gene_fraction,258.0,0.05583442295724354,linear regression coefficient per predictor unit,0.027781723716883845,0.08388712219760325,0.00011394136507737126,0.0010254722856963413,supports,Gene-weighted CNA proxy is not HRD scar
SMC1B,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
SMC1B,METABRIC,OS,258.0,0.11768708800280799,log hazard ratio per predictor SD,-0.04788706292251678,0.28326123892813276,0.16358753661881642,0.4901850100539865,does_not_support,Gene-weighted CNA proxy is not HRD scar
SMC1B,METABRIC,RFS,258.0,0.10644277081841381,log hazard ratio per predictor SD,-0.08283449736754152,0.29572003900436916,0.27036877934108805,0.6083297535174481,does_not_support,Gene-weighted CNA proxy is not HRD scar
SMC1B,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
SMC1B,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
SMC1B,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
SMC1B,single_cell,malignant_vs_nonmalignant_combined,8.0,1.207978470760851,paired mean difference in log2(CPM+1),0.3390992794444746,2.1428443521113434,0.078125,0.140625,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
SMC1B,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
SMC1B,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
SYCP2,TCGA_HRD,HRD_total,103.0,4.0855572969657645,linear regression coefficient per predictor unit,-0.1408552693713396,8.311969863302869,0.0579844088206249,0.0869766132309374,does_not_support,Frozen TCGA discovery; not external replication
SYCP2,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP2,METABRIC,altered_gene_fraction,258.0,0.03661290073538001,linear regression coefficient per predictor unit,0.008084447317331857,0.06514135415342817,0.012096088959694098,0.02721620015931172,supports,Gene-weighted CNA proxy is not HRD scar
SYCP2,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
SYCP2,METABRIC,OS,258.0,-0.08666478353396494,log hazard ratio per predictor SD,-0.2547020190267952,0.08137245195886532,0.3120898946090461,0.5090180437201879,does_not_support,Gene-weighted CNA proxy is not HRD scar
SYCP2,METABRIC,RFS,258.0,-0.054910406543126136,log hazard ratio per predictor SD,-0.24564594566322195,0.13582513257696965,0.5725843921144229,0.7361799327185438,does_not_support,Gene-weighted CNA proxy is not HRD scar
SYCP2,METABRIC,HRD_scar,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
SYCP2,GSE25066,pCR,,,linear regression coefficient per predictor unit,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
SYCP2,GSE25066,DRFS,,,log hazard ratio per predictor SD,,,,,unavailable,GPL96 mapping unavailable; no gene coverage inferred
SYCP2,single_cell,malignant_vs_nonmalignant_combined,8.0,1.5487886799071091,paired mean difference in log2(CPM+1),0.5385046960193739,2.4954266047345426,0.0390625,0.087890625,does_not_support,Paired donor/sample analysis; RNA specificity is not HRD
SYCP2,DepMap,genome_wide_CRISPR,,,linear regression coefficient per predictor unit,,,,,unavailable,Composite-only DepMap screen; individual candidate genes not tested
SYCP2,drug,compound_wide_response,,,linear regression coefficient per predictor unit,,,,,unavailable,Drug response resources missing; not tested
SYCP3,TCGA_HRD,HRD_total,103.0,4.753326450483142,linear regression coefficient per predictor unit,0.5635399784380901,8.943112922528194,0.0265819642790948,0.0478475357023706,supports,Frozen TCGA discovery; not external replication
SYCP3,TCGA_CIN,HRD_LOH,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,LST,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,TAI,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,aneuploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,FGA,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,LOH_fraction,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,ploidy,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,TCGA_CIN,WGD,,,linear regression coefficient per predictor unit,,,,,unavailable,Individual-gene CIN tests not run
SYCP3,METABRIC,altered_gene_fraction,258.0,-0.006193074438629708,linear regression coefficient per predictor unit,-0.03506517860506331,0.02267902972780389,0.6730804814967658,0.8653891904958417,does_not_support,Gene-weighted CNA proxy is not HRD scar
SYCP3,METABRIC,altered_gene_fraction_adjusted,,,linear regression coefficient per predictor unit,,,,,unavailable,Gene-weighted CNA proxy is not HRD scar
