patient_id,sample_id,expression_sample_id,predictor_role,n_genes_scored,predictor_status,candidate_mean_z,candidate_median_z,HORMAD1_z,STAG3_z,REC8_z
TCGA-AO-A129,TCGA-AO-A129-01,TCGA-AO-A129-01A|bdef0c66-0755-4581-b813-87c8512754ba,expression_predictor,9,complete,0.30105991373822516,0.34782624298806053,1.093508130357418,-0.3905469745687276,0.6732230047908089
TCGA-AO-A12F,TCGA-AO-A12F-01,TCGA-AO-A12F-01A|d6882616-b77d-4d4c-90dc-7318c57876e1,expression_predictor,9,complete,0.019465382729414542,-0.0045642318197355,0.09411822804174094,-0.5890541471466958,-1.093772627953242
TCGA-AO-A1KR,TCGA-AO-A1KR-01,TCGA-AO-A1KR-01A|707414cc-7f34-41c6-8803-6641521a4069,expression_predictor,9,complete,-0.5088818585635694,-0.5596033367985479,-1.2751876130398019,-0.8014527284463384,-0.07928417844331061
TCGA-AQ-A04J,TCGA-AQ-A04J-01,TCGA-AQ-A04J-01A|eb914a22-6e3f-4296-89d4-a960902fba2b,expression_predictor,9,complete,-0.032917120337258805,-0.042658628127660046,0.29207655696675616,-0.042658628127660046,0.015765038577982688
TCGA-AR-A0TS,TCGA-AR-A0TS-01,TCGA-AR-A0TS-01A|ad1ea8c5-ca8b-49e9-a650-6012d71daf24,expression_predictor,9,complete,0.6670966416586617,0.4482130119268977,0.4482130119268977,-0.16325426539629548,0.5884045472877212
TCGA-AR-A0TU,TCGA-AR-A0TU-01,TCGA-AR-A0TU-01A|017d71aa-0999-4d8e-9cb4-88b9013e61eb,expression_predictor,9,complete,0.21764581150225434,-0.33051070135864263,0.3375267244438671,-0.38363913733719907,2.272460739142644
TCGA-AR-A0U1,TCGA-AR-A0U1-01,,expression_predictor,0,no_complete_valid_local_STAR,,,,,
TCGA-AR-A0U4,TCGA-AR-A0U4-01,TCGA-AR-A0U4-01A|1f5bbb4e-9b0e-4953-a360-83fd7b6a2267,expression_predictor,9,complete,0.5449782002780001,0.3516951525840883,0.9532518258801977,-0.74830190541926,0.06345013377079152
TCGA-AR-A1AR,TCGA-AR-A1AR-01,TCGA-AR-A1AR-01A|7235fd65-e9cb-45f1-ac78-cad80823325e,expression_predictor,9,complete,0.3120006876575597,0.10396793150737528,0.19889719815657442,1.9486273502631228,-0.434293159179739
TCGA-AR-A1AY,TCGA-AR-A1AY-01,TCGA-AR-A1AY-01A|58764dda-7c61-4705-a834-4d654c60ef2b,expression_predictor,9,complete,0.7526219940507322,0.9382781495073146,-1.188201255702969,2.0352885785083905,-1.1579336165392573
TCGA-AR-A256,TCGA-AR-A256-01,TCGA-AR-A256-01A|398fa6bf-78af-473b-8f2c-a2b3b605131f,expression_predictor,9,complete,-0.11602345091684957,-0.19206342764265164,1.4219973673448099,-0.7503710297630126,-1.205079247781098
TCGA-AR-A2LR,TCGA-AR-A2LR-01,TCGA-AR-A2LR-01A|7acdca8d-6231-4077-b7ac-eec857c43092,expression_predictor,9,complete,0.31590555790370006,-0.27611353421423024,-0.4045700531581366,1.2044975208241768,-0.6731710046500231
TCGA-AR-A5QQ,TCGA-AR-A5QQ-01,TCGA-AR-A5QQ-01A|f55eb7a0-34e6-4d0d-9427-7d7896ddf060,expression_predictor,9,complete,-0.7006964624648763,-0.7126676084336458,-0.2150628504198836,-0.7126676084336458,0.4079835719313261
TCGA-B6-A3ZX,TCGA-B6-A3ZX-01,TCGA-B6-A3ZX-01A|f6565f25-4317-4615-a437-af79da929ecd,expression_predictor,9,complete,0.4659149531122456,0.5331771868672885,0.6690917722612719,0.2949367038255145,1.091514904944729
TCGA-B6-A400,TCGA-B6-A400-01,TCGA-B6-A400-01A|ee39aea6-23f8-470f-863c-545ef6c5ea77,expression_predictor,9,complete,0.35636736437316163,0.7150123123278463,0.9434215511510534,-0.2847725125376234,1.272411273487519
TCGA-B6-A402,TCGA-B6-A402-01,TCGA-B6-A402-01A|c4ceaaf8-4803-45d7-9937-42d25db60148,expression_predictor,9,complete,0.3999173583749446,-0.08529816701826798,0.863840876259871,-0.5736950158067342,-0.15641184071164468
TCGA-BH-A0B3,TCGA-BH-A0B3-01,TCGA-BH-A0B3-01A|37939d7d-074b-42b7-8d68-95a8afef4c38,expression_predictor,9,complete,-0.2136521382968021,-0.20990187131103905,-0.24879306868544182,-0.6584696032334495,0.33871628240859136
TCGA-BH-A0B9,TCGA-BH-A0B9-01,TCGA-BH-A0B9-01A|4f464ced-080f-41f1-9a00-955db0d5fda6,expression_predictor,9,complete,0.08689592914601142,0.09594992522862815,-1.2754054223980993,2.4158683890134864,0.230427777001773
TCGA-BH-A0BG,TCGA-BH-A0BG-01,TCGA-BH-A0BG-01A|742a677b-e99b-4916-bb92-3536c55ee5e3,expression_predictor,9,complete,-0.24020977255983292,-0.4659102345013078,1.4194160053894318,-0.2878185643648021,-0.4659102345013078
TCGA-BH-A0BL,TCGA-BH-A0BL-01,TCGA-BH-A0BL-01A|8a7fe670-bcef-4fcb-9759-9892ff5f4f61,expression_predictor,9,complete,0.2685113028472071,0.046024983586815074,-0.6083116051714688,1.447389389178349,0.7900573299899898
TCGA-BH-A0E0,TCGA-BH-A0E0-01,TCGA-BH-A0E0-01A|7882ff91-e415-48ae-9151-26b55f1cfc57,expression_predictor,9,complete,-0.4368958106758337,-0.5038123474038537,0.5390977448735733,-0.5038123474038537,-1.6450009535899612
TCGA-BH-A0RX,TCGA-BH-A0RX-01,TCGA-BH-A0RX-01A|77f150b1-5f40-442d-91c5-6d3571513513,expression_predictor,9,complete,-0.36369254065342294,-0.666871011514849,0.5863867805400369,-0.666871011514849,-0.4344157526370697
TCGA-BH-A0WA,TCGA-BH-A0WA-01,TCGA-BH-A0WA-01A|7789d241-991c-4cc9-a557-69d5c439b930,expression_predictor,9,complete,0.5132982455138064,0.7655038215792628,0.6155293451038732,0.9253962102350654,-0.51619725968717
TCGA-BH-A18G,TCGA-BH-A18G-01,TCGA-BH-A18G-01A|ff1f2f31-8607-4627-b487-c5e39e7c30f5,expression_predictor,9,complete,-0.8628989345675114,-0.9828820412712994,0.5044645337331726,-0.9973727158323199,-0.8167444083068783
TCGA-BH-A18V,TCGA-BH-A18V-01,TCGA-BH-A18V-01A|19baf63b-8488-4b90-83b7-a6c671da0095,expression_predictor,9,complete,0.13906080974745774,-0.22495584023356072,1.9141275478108704,-0.4511683095434821,-0.22495584023356072
TCGA-BH-A1EW,TCGA-BH-A1EW-01,TCGA-BH-A1EW-01A|f8b403a1-37cf-4acb-b5d7-b3437fafa7f8,expression_predictor,9,complete,0.024774383162576102,-0.4559762779293822,-1.203711705360339,-0.6714020089433324,3.0284685073373367
TCGA-BH-A1F6,TCGA-BH-A1F6-01,TCGA-BH-A1F6-01A|76bcf698-d2da-42de-b33c-c5deb721c643,expression_predictor,9,complete,-0.48146827647514123,-0.5239442689404913,-1.3021462984328294,-0.6826591571170495,-0.45995930964386034
TCGA-BH-A1FC,TCGA-BH-A1FC-01,TCGA-BH-A1FC-01A|09f9ebad-e7cd-4c20-9eab-8fd2066d9051,expression_predictor,9,complete,-0.0064302366027364655,-0.17786678820671167,1.441026901916474,-0.9300247883153758,-0.17459369737979435
TCGA-BH-A42U,TCGA-BH-A42U-01,TCGA-BH-A42U-01A|893122aa-117b-49a4-a81c-1229dde4d78a,expression_predictor,9,complete,-0.5463053459936306,-0.4827253436211042,-1.2864555481974564,-0.2948836476666466,1.1728378538938795
TCGA-C8-A12V,TCGA-C8-A12V-01,TCGA-C8-A12V-01A|71ce6854-2231-48ad-ba1b-54bb4ec7d713,expression_predictor,9,complete,-0.1409868072682147,-0.4559762779293822,0.5121745976580392,0.16386398512191758,1.3950126157476597
TCGA-C8-A131,TCGA-C8-A131-01,TCGA-C8-A131-01A|ae2e0936-a225-491b-8361-3c20663768d9,expression_predictor,9,complete,-0.5760873982231204,-0.8121187321615094,-1.3060348757627556,-1.0008542997987593,-1.0236031667534822
TCGA-C8-A1HJ,TCGA-C8-A1HJ-01,TCGA-C8-A1HJ-01A|f9fe6c47-0955-432f-b402-a6dc2665e04d,expression_predictor,9,complete,0.21588480781246747,0.21297762939228354,0.3234570997080815,-0.8504099782418573,-1.3875653185831844
TCGA-C8-A26X,TCGA-C8-A26X-01,TCGA-C8-A26X-01A|c782b873-2727-4fe4-9c9a-741964290349,expression_predictor,9,complete,-0.9952426185904439,-1.070518259682232,-1.3027165378184213,-1.0076174069294563,-0.6953059800097423
TCGA-C8-A26Y,TCGA-C8-A26Y-01,TCGA-C8-A26Y-01A|e8d97ce6-190e-4189-a148-5a8d9f4215c3,expression_predictor,9,complete,-0.07006619866741581,-0.22955396818223955,-1.289125386192897,-0.051396508491225325,-0.4025790012136733
TCGA-C8-A27B,TCGA-C8-A27B-01,TCGA-C8-A27B-01A|4ec56a4e-a3ce-4511-a517-199e2a535b1a,expression_predictor,9,complete,0.152578888855495,0.06499496535835356,0.5503432314896585,-0.812623095139876,0.2581486822553027
TCGA-C8-A3M7,TCGA-C8-A3M7-01,TCGA-C8-A3M7-01A|7aff89e2-86cb-43d8-96cd-341c02ebdd49,expression_predictor,9,complete,-0.3820754298759837,-0.33051070135864263,-1.248733873142679,-0.5115756674645161,-0.3501621408043744
TCGA-D8-A13Z,TCGA-D8-A13Z-01,TCGA-D8-A13Z-01A|fd371070-c312-4eca-b3da-d41b1c8a86a7,expression_predictor,9,complete,-0.419436782478428,-0.33051070135864263,-1.283190392973402,-0.7034429540163725,1.1152481442048816
