sample,CD8_T_cells,CD4_naive_T,CD4_memory_resting,CD4_memory_activated,T_follicular_helper,T_regulatory,T_gamma_delta,NK_resting,NK_activated,B_naive,B_memory,Plasma_cells,Monocytes,M0_macrophages,M1_macrophages,M2_macrophages,DC_resting,DC_activated,Mast_resting,Mast_activated,Eosinophils,Neutrophils,exhaustion_composite,GIPS_group,GIPS_scaled
TCGA-BH-A0AZ-01,0.07432036038934459,0.05103929639268275,0.047722979341214236,0.04923180570319387,0.08530199741363838,0.00817374672371883,0.029518511453932025,0.03782271264451832,0.08162943283201056,0.02753148050276971,0.08289028767847936,0.07243461634094142,0.03580281002974858,0.0333906626874037,0.02584806517038776,0.03230482921295183,0.06261590119344383,0.028566267892111523,0.06382089493879185,0.013366534129432018,0.05666680732928489,0.0,-0.644837380738567,Low,0.3125000000000001
TCGA-A2-A0T1-01,0.07702258484951474,0.05388550641253891,0.05146080426039311,0.05712256915705059,0.08606431747102092,0.04323645000558745,0.020711031687540574,0.043579335890406246,0.08533010971237885,0.030582794581170036,0.07911321568456063,0.051640229035703165,0.03627580253536002,0.03299627754538658,0.025859613077708295,0.02933537940017935,0.06481124653473727,0.0466144008468324,0.06558805481200258,0.013394813251982855,0.005375463247945466,0.0,-0.11501838789313668,Low,0.28125
TCGA-OL-A5RY-01,0.07120514328720791,0.048573959600331645,0.04726223263066659,0.05326434656119591,0.08418054787445303,0.04853962514387298,0.02325595616910491,0.041648400789235054,0.0825791843359193,0.031902498649396344,0.07640332197337613,0.03350183081619472,0.06286195446356382,0.03051695207265253,0.0234511341686177,0.027784289161738127,0.05625325302723366,0.04670558789842889,0.07134386517451598,0.011048679146090853,0.02771723705620379,0.0,0.09758058218469617,Low,0.03125
TCGA-OL-A5RZ-01,0.091322763282697,0.04840528670820292,0.03329762490240566,0.03895080766683534,0.10272032304312803,0.008181677747844182,0.06530582388504588,0.04100898888327326,0.07610877830691563,0.03826240525894927,0.09639340366748286,0.03029942768839416,0.04740454002681046,0.032016137036451696,0.031017354490773807,0.03246497536656237,0.06289709343061547,0.031224055249921532,0.06559133321596168,0.022980692113187713,0.004146508028540889,0.0,0.5355760979010349,High,0.65625
TCGA-PL-A8LZ-01,0.06898325396217687,0.05200689103918791,0.05684378401985554,0.05138610720487032,0.08301333040803403,0.0465827205769443,0.05180164095158873,0.04780897776715416,0.08777049775370224,0.03026362389654836,0.07608522020073144,0.016811190428935446,0.03247676924154241,0.03593974669990651,0.026176648011404048,0.0330433153489167,0.06232882110281716,0.03880786534083811,0.06425828361612974,0.025001924611355423,0.012609387817360571,0.0,0.20735571481613674,Low,0.34375
TCGA-AR-A0TW-01,0.07970648784657115,0.04564131553994534,0.05439534188121642,0.05767929669838042,0.08328177285854335,0.0454502802512787,0.03173770103597014,0.03730960058950519,0.08670916913808503,0.03193855473516561,0.08324003149632193,0.03664912288997472,0.03522160496289496,0.03921827791856648,0.028410678540143987,0.03384424764027842,0.058146618080608795,0.03234780036520948,0.06257548732464605,0.034038332513032336,0.0024582776936614807,0.0,-0.013523181604414736,Moderate,0.4375
TCGA-OL-A97C-01,0.07330940129634873,0.03900334516535879,0.0489441822324401,0.05469899161245015,0.08543745632222914,0.05054758497301354,0.049185374484994465,0.0176655440446082,0.08062710968762293,0.03151810729721604,0.0815126770621777,0.05632706337563352,0.03701367980545952,0.03928653879719033,0.02393932820910009,0.03841281678877499,0.06260525182623754,0.023618698630927644,0.05281288867078669,0.017840635934084408,0.03569332378334555,0.0,2.636484232213363,Low,0.28125
TCGA-LQ-A4E4-01,0.0874716453238999,0.05313323487360605,0.032346838429436496,0.05317422564874175,0.09753935712177379,0.010146484592170884,0.0631925832814714,0.024065769940410753,0.08822035934217426,0.03396087330243697,0.0875828577175921,0.04272800890927277,0.04245436391732367,0.034334864064878366,0.03108705708931013,0.03967645176918002,0.061694518457482764,0.015977034390161033,0.06207884677049068,0.028814726826173604,0.010319898232012521,0.0,0.17086351552341522,Low,0.34375
TCGA-A1-A0SM-01,0.07613800422051745,0.046051363142073386,0.05088989903226452,0.043110650538182804,0.08514012837287792,0.01647899125869736,0.02667882849138439,0.03972247742694117,0.08747601951188022,0.03562187857902223,0.0819003687549035,0.060674670184179616,0.05336235508604462,0.024243808168471815,0.028465449263568313,0.03023123433433696,0.0603534660920256,0.026566259050086503,0.07459518671571641,0.00564789039165618,0.04665107138516895,0.0,0.6401712809363388,Low,0.21875
TCGA-E2-A14N-01,0.068490697494029,0.05085109168013123,0.06627742102367884,0.049449608142236576,0.08591327887286823,0.03217104583889022,0.051964842412498866,0.05190180733991879,0.08091862083898635,0.021821123739989866,0.08248391992293665,0.01927736623135562,0.036893537994292784,0.018221811446733918,0.02841750750635645,0.029256556608319675,0.05833171114194546,0.044751374535445865,0.0721865926457489,0.03775475440427172,0.012665330179364989,0.0,0.3546573216156191,Low,0.1875
TCGA-A2-A04W-01,0.08229648874503614,0.051636769599634966,0.02884517860182922,0.04890468882859758,0.0914122295560557,0.017530839599540198,0.025006417740347765,0.03052537104688338,0.07688762881328173,0.03220045892605142,0.08885349431395849,0.07678399217976266,0.03622298902820733,0.02769831511916095,0.029707180123627934,0.04089009790186234,0.053619964001011024,0.01646266523468824,0.080073935737726,0.004832439893786287,0.05960885500895067,0.0,-0.15259707313096665,Moderate,0.40625
TCGA-A8-A0A7-01,0.07271553913380177,0.04562120262630107,0.05396497575823948,0.05522670653898091,0.08220301190975915,0.03576064653852329,0.03445583337160969,0.044958943419867045,0.08288763790030365,0.02949580088889929,0.07325508396176245,0.06106994246554197,0.03446550260774582,0.03504973748345401,0.023309846294603778,0.031764355068481624,0.06240701104614131,0.04831431165291888,0.05527029120670206,0.010955436344701183,0.026848183781661678,0.0,-0.8332401315106907,Moderate,0.375
TCGA-AN-A0FF-01,0.07633789615273551,0.04636272843045019,0.04724138836144912,0.048579504115049146,0.08517363667664053,0.013400151257750703,0.035259972745428435,0.04591067467304134,0.09013490641537085,0.043453674527901776,0.07374176074822447,0.04961099170023197,0.03644603276350857,0.04055235810241794,0.027316315716480945,0.032847238260171795,0.0628424339185053,0.036802359096713234,0.0590177860644986,0.03659491458511209,0.012373275688317548,0.0,-0.6884546441890605,Low,0.125
TCGA-AN-A0AR-01,0.07902958630856428,0.0411672809056197,0.03955020422141779,0.04720162588882722,0.09786391077447285,0.01123627818808198,0.07453222305843245,0.03315205473109255,0.07277165979145539,0.03076171629824525,0.09311139498583143,0.01082684490123131,0.03429178135495335,0.022494753558015924,0.02707988608779068,0.04349417033234949,0.07655334636121902,0.03167096116085163,0.06313603295025916,0.036151450639234556,0.033922837502054076,0.0,0.7148985966870667,Low,0.34375
TCGA-AR-A0TX-01,0.07369469669591375,0.04936502414663738,0.04856848970132785,0.055686206368418735,0.07770193424735651,0.03899728421804338,0.04319486505197675,0.04447001169423933,0.07835009671665842,0.0314942242565126,0.07351727894226451,0.03565495089510163,0.03273508926574036,0.04047338825179219,0.02634131432718865,0.03309786993507837,0.062356297116811406,0.04135977730876798,0.057224618690729846,0.05025396099724026,0.0054626211722000355,0.0,0.011315110323161848,Low,0.3125
TCGA-GM-A2DB-01,0.08539095853755767,0.04208544983932478,0.060873801172150424,0.052400478161587126,0.09357174308939807,0.036689485445656256,0.03914280479741413,0.03764945486404304,0.09298003874307081,0.03058075113139934,0.06699215846323536,0.017645141477690026,0.027092702050175436,0.024291276495648488,0.034244281704708834,0.028268090952043034,0.0650072375960857,0.0497795354779039,0.07705397351558715,0.009358423990106701,0.028902212495213776,0.0,-1.1080610274956442,Moderate,0.4062500000000001
TCGA-A2-A0D1-01,0.09995002578539895,0.05190778325827953,0.03521416835748342,0.03490575265628049,0.11399349931559474,0.022106491653270548,0.0666464213995635,0.032419628314743966,0.1060489044537871,0.04287388682134431,0.07654732111255225,0.02743633126517628,0.04409433112041698,0.02490722294841166,0.02982536911804909,0.03184209368778518,0.05684302618369473,0.01923981031286126,0.048656040142235936,0.03265720905519086,0.0018846830378791667,0.0,-0.019204189027338323,Low,0.28125
