row_index,fitted,residual,cooks_distance,leverage,influential,outcome,PD_ID,RBA,F_expression_column
197,0.6516812905443669,0.3483115040051261,0.0015681464815513269,0.005021771747548553,False,HRDetect_probability,PD36038a,S005239.l.r.m3.c.lib.g.k2.a.t,F494
198,0.6511691489090894,0.3487663295445066,0.0015677634849081239,0.005007601851825518,False,HRDetect_probability,PD36039a,S005242.l.r.m2.c.lib.g.k2.a.t,F1061
199,0.3752819704432947,-0.2052344086019777,0.0025823323488070485,0.022967242672206806,False,HRDetect_probability,PD36040a,S005248.l.r.m2.c.lib.g.k2.a.t,F1871
200,0.47772792916737705,0.5213105488193,0.007307001612595823,0.01033478884989512,False,HRDetect_probability,PD36041a,S005260.l.r.m2.c.lib.g.k2.a.t,F450
201,0.4477940459181524,-0.4434025817229744,0.006842452437012126,0.01329739961389869,False,HRDetect_probability,PD36042a,S005353.l.r.m2.c.lib.g.k2.a.t,F1072
202,0.5191165814448274,-0.5081615614851774,0.004826341279607991,0.0072292160644778815,False,HRDetect_probability,PD36043a,S005384.l.r.m.c.lib.g.k2.a.t,F1894
203,0.6000014100797179,-0.5676511566392313,0.0037111047935156436,0.004479396351880492,False,HRDetect_probability,PD36044a,S005401.l.r.m.c.lib.g.k2.a.t,F3179
204,0.5364140917363558,0.45880454902803225,0.0034068107869348933,0.00627200584782002,False,HRDetect_probability,PD36046a,S005441.l.r.m.c.lib.g.k2.a.t,F1083
205,0.5173255259492543,-0.4843955838024666,0.004453534044230414,0.007339804028654714,False,HRDetect_probability,PD36048a,S005511.l.r.m2.c.lib.g.k2.a.t,F1087
206,0.6057185658557545,0.3620541282276796,0.0015001012509028014,0.0044512039247724434,False,HRDetect_probability,PD36049a,S005543.l.r.m2.c.lib.g.k2.a.t,F1088
207,0.6647059196697955,0.3342434591678175,0.001565992447746214,0.005441310186690139,False,HRDetect_probability,PD36050a,S005561.l.r.m.c.lib.g.k2.a.t,F1085
208,0.49585582683989693,0.500464423917763,0.005738319749073307,0.008833051625465566,False,HRDetect_probability,PD36051a,S005600.l.r.m.c.lib.g.k2.a.t,F1882
209,0.47184808784445775,0.5279327250150032,0.00788988886757864,0.010869259072257095,False,HRDetect_probability,PD36052a,S005636.l.r.m.c.lib.g.k2.a.t,F1094
210,0.8734398984641017,-0.7955228938966672,0.04725102723105865,0.027700332766828015,True,HRDetect_probability,PD36053a,S005692.l.r.m.c.lib.g.k2.a.t,F875
211,0.6538431297287812,0.18686140013878183,0.0004569325908282535,0.005083525485018164,False,HRDetect_probability,PD36054a,S005792.l.r.m.c.lib.g.k2.a.t,F3213
212,0.6455747300526278,-0.6448814404395578,0.005205171183260313,0.0048642816371739775,False,HRDetect_probability,PD36055a,S005844.l.r.m.c.lib.g.k2.a.t,F3187
213,0.5859126452202745,0.4136341492320704,0.0020429129446949902,0.004642523129395598,False,HRDetect_probability,PD36056a,S006007.l.r.m.c.lib.g.k2.a.t,F506
214,0.5870357701934025,0.41295813856564956,0.002028320631780972,0.004624631686652406,False,HRDetect_probability,PD36057a,S006059.l.r.m.c.lib.g.k2.a.t,F3225
215,0.5261898916232811,0.4738013457420539,0.003951152289457982,0.006813521155833365,False,HRDetect_probability,PD36058a,S006070.l.r.m.c.lib.g.k2.a.t,F513
216,0.5700843899295547,0.4299040239144163,0.0023710755252500776,0.004984719111237489,False,HRDetect_probability,PD36060a,S006147.l.r.m.c.lib.g.k2.a.t,F1124
217,0.5435867992612894,0.19220820139128159,0.0005653030944696018,0.0059339899223794495,False,HRDetect_probability,PD36063a,S006439.l.r.m.c.lib.g.k2.a.t,F524
218,0.49224586118117253,0.4667238288896175,0.005152616278198301,0.009114515904448691,False,HRDetect_probability,PD36064a,S006440.l.r.m2.c.lib.g.k2.a.t,F1143
219,0.8082605403734876,0.005324713245482449,1.3182237127753077e-06,0.017609373821984558,False,HRDetect_probability,PD36066a,S006551.l.r.m.c.lib.g.k2.a.t,F1952
220,0.6090596731887065,0.1019630735292325,0.00011880562400739606,0.004444885738816979,False,HRDetect_probability,PD36067a,S006556.l.r.m.c.lib.g.k2.a.t,F3247
221,0.6275659380446826,-0.5820247759935755,0.00395959936202549,0.004545585979330496,False,HRDetect_probability,PD36068a,S006572.l.r.m.c.lib.g.k2.a.t,F3254
222,0.5450246275260948,-0.5449023572932333,0.00449406410011242,0.005870387006634843,False,HRDetect_probability,PD36069a,S002848.l2.r.m.c.lib.g.k2.a.t,F218
223,0.677429769410226,-0.6755997363268177,0.007016507437730377,0.005961116581341923,False,HRDetect_probability,PD36071a,S003764.l2.r.m.c.lib.g.k2.a.t,F343
224,0.4849859791414075,-0.4795028672566728,0.00579913526978716,0.009707044580264113,False,HRDetect_probability,PD36073a,S004413.l2.r.m.c.lib.g.k2.a.t,F3113
0,62.94743658997995,-16.94743658997995,0.0033354433300604464,0.013629819639334075,False,scarHRD_score,PD31028a,S000156.l.r.m3.c.lib.g.k2.a.t,F573
1,53.00728841770557,1.992711582294433,1.4872927865129965e-05,0.004477897047614794,False,scarHRD_score,PD31029a,S000160.l.r.m.c.lib.g.k2.a.t,F16
2,62.15417681399034,-52.15417681399034,0.028438671637949983,0.012303892014466505,True,scarHRD_score,PD31030a,S000262.l.r.m.c.lib.g.k2.a.t,F2677
3,52.049354073423956,4.950645926576044,9.127902196947784e-05,0.004452825161372339,False,scarHRD_score,PD31031a,S000285.l.r.m.c.lib.g.k2.a.t,F588
4,32.88306766876795,-26.88306766876795,0.02293857488065172,0.035610527983575016,True,scarHRD_score,PD31032a,S000294.l.r.m.c.lib.g.k2.a.t,F2681
5,35.85526532627274,-14.855265326272743,0.005182098168321364,0.02682802525387395,False,scarHRD_score,PD31033a,S000303.l.r.m.c.lib.g.k2.a.t,F584
6,51.41392591017345,-15.413925910173447,0.0008981879091735048,0.004519298937619093,False,scarHRD_score,PD31037a,S000352.l.r.m2.c.lib.g.k2.a.t,F1425
7,47.34305730899895,4.656942691001049,0.00011871721466591884,0.0065177373660465525,False,scarHRD_score,PD31040a,S000381.l.r.m2.c.lib.g.k2.a.t,F2695
8,62.7270052428213,-1.7270052428212992,3.3647907985692084e-05,0.013251005969511481,False,scarHRD_score,PD31041a,S000399.l.r.m3.c.lib.g.k2.a.t,F2699
9,44.08257342617477,19.91742657382523,0.0033828267514044515,0.010080402199954385,False,scarHRD_score,PD31042a,S000408.l.r.m2.c.lib.g.k2.a.t,F603
10,62.206138090375674,14.793861909624326,0.0023041561831401124,0.012387583210272016,False,scarHRD_score,PD31043a,S000516.l.r.m.c.lib.g.k2.a.t,F2718
11,56.917849317698526,32.082150682301474,0.0053063021494980855,0.006142958405925384,False,scarHRD_score,PD31044a,S000517.l.r.m.c.lib.g.k2.a.t,F615
12,49.781262686851605,-4.781262686851605,9.559202726252048e-05,0.004994045911589021,False,scarHRD_score,PD31045a,S000518.l.r.m.c.lib.g.k2.a.t,F621
13,58.85918098354581,5.140819016454188,0.000175885334596524,0.00790203281145379,False,scarHRD_score,PD31046a,S000581.l.r.m.c.lib.g.k2.a.t,F48
14,48.226511449856645,5.773488550143355,0.00016363716769254852,0.0058529032155620045,False,scarHRD_score,PD31047a,S000590.l.r.m2.c.lib.g.k2.a.t,F1438
15,55.855979916646085,23.144020083353915,0.0024431752358718096,0.005442538277109114,False,scarHRD_score,PD31051a,S000628.l.r.m.c.lib.g2.k2.a.t,F73
16,41.50257408731248,-4.502574087312482,0.00024443351035289293,0.014136354348875613,False,scarHRD_score,PD31053a,S000689.l.r.m.c.lib.g2.k2.a.t,F49
17,52.0344737490697,20.965526250930303,0.0016373343514505994,0.004453623894533397,False,scarHRD_score,PD31056a,S000800.l.r.m.c.lib.g.k2.a.t,F96
18,65.17451146307356,-13.174511463073557,0.002670905827132746,0.01790447972425093,False,scarHRD_score,PD31057a,S000802.l.r.m.c.lib.g.k2.a.t,F1473
19,51.731152669571095,-30.731152669571095,0.003537190765229338,0.004477827567921216,False,scarHRD_score,PD31058a,S000814.l.r.m.c.lib.g.k2.a.t,F1469
20,49.481224037486385,45.518775962513615,0.008900330108794019,0.005128889162765136,False,scarHRD_score,PD31059a,S000862.l.r.m.c.lib.g.k2.a.t,F2762
21,48.9516309010527,52.0483690989473,0.012265554314651114,0.005402962587801431,False,scarHRD_score,PD31061a,S000901.l.r.m.c.lib.g.k2.a.t,F665
22,44.955519934474786,-31.955519934474786,0.007718439337302071,0.008955477745264945,False,scarHRD_score,PD31063a,S000927.l.r.m.c.lib.g.k2.a.t,F1484
23,63.513733785171524,-12.513733785171524,0.0019572549541715186,0.01463957662150164,False,scarHRD_score,PD31065a,S000931.l.r.m.c.lib.g.k2.a.t,F2772
