model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,gene,fdr,excluded_patient_ids
Exclude Cook distance >4/N,HRDetect_probability,candidate_mean_z,215,estimated,,0.3711919501530042,0.05704260546458455,0.25875162632846793,0.4836322739775405,5.385232616594482e-10,0.165833265880725,0.049097525535362806,0.27441268095207133,0.4679712193539371,1.1813827474158606e-12,0.38405177618392133,5.768302179473145e-09,0.4072263079428008,5.385232616594383e-10,{'candidate_mean_z': 0.9999999999999998},False,0.00336253749915362,1.1952832112739016e-09,0.03837889165344346,0.018604651162790697,5,composite,,PD31028a;PD31030a;PD31065a;PD31122a;PD31124a;PD31160a;PD31164a;PD35994a;PD36022a;PD36053a
Exploratory individual candidate,scarHRD_score,HORMAD1_z,225,estimated,,10.630262458121596,1.554605317384779,7.566665558856348,13.693859357386843,7.613958425050462e-11,0.17333041375700597,1.60790295292222,7.4616340957932,13.79889082044999,2.776680524918368e-10,0.38030819648068004,3.726829917042659e-09,0.4163296935807078,7.61395842505062e-11,{'HORMAD1_z': 1.0000000000000002},False,0.0012820321611911793,0.002344051171795679,0.7644572917476882,0.017777777777777778,9,HORMAD1,6.852562582545415e-10,
Exploratory individual candidate,scarHRD_score,HORMAD2_z,225,estimated,,2.880062620295359,1.6989229042800449,-0.46793502479105253,6.228060265381771,0.09142784568418089,0.012723033198073996,1.4661811713895894,-0.009280443310331066,5.7694056839010495,0.05073405316410703,0.12256702713031524,0.06647744300466216,0.11279642369363427,0.09142784568418037,{'HORMAD2_z': 1.0},False,0.06145420129916959,7.135240288071807e-06,0.38396176010241756,0.017777777777777778,5,HORMAD2,0.1645701222315256,
Exploratory individual candidate,scarHRD_score,STAG3_z,225,estimated,,1.5093188054360143,1.7068449930746816,-1.854290574922075,4.872928185794104,0.377500659042463,0.0034942080956563704,1.605921745229083,-1.6554052721986268,4.674042883070655,0.3483135640505872,0.08795180398960883,0.18868550407064558,0.059111827037035436,0.3775006590424664,{'STAG3_z': 1.0},False,0.18089166357172984,1.0318802319518413e-05,0.00988933672821849,0.017777777777777778,5,STAG3,0.42468824142277084,
Exploratory individual candidate,scarHRD_score,REC8_z,225,estimated,,1.9258470081925811,1.7049643668056034,-1.4340562991563683,5.285750315541531,0.2598783256824134,0.005688927061740734,1.8565391193963663,-1.732758443585625,5.584452459970787,0.30070475838279653,0.06525526103103388,0.32985001701315997,0.07542497637878832,0.25987832568241387,{'REC8_z': 1.0},False,0.14025065942538872,2.3699539327965173e-05,0.04774436358664799,0.017777777777777778,13,REC8,0.3341292758773887,
Exploratory individual candidate,scarHRD_score,SMC1B_z,225,estimated,,4.5249515412848895,1.6827710157342157,1.2087837600957156,7.841119322474063,0.007708342948862531,0.031406147383168714,1.7228793850878958,1.129743842624427,7.920159239945352,0.009227743195916703,0.18816982553946476,0.004623326070325276,0.17721779646290842,0.007708342948862498,{'SMC1B_z': 1.0000000000000002},False,0.23527113531116264,8.81594867269304e-05,0.24373922666549688,0.017777777777777778,11,SMC1B,0.017343771634940695,
Exploratory individual candidate,scarHRD_score,SYCP2_z,225,estimated,,2.686073212161454,1.7003473347770561,-0.6647314996479787,6.036877923970887,0.11558829490776222,0.01106681093725792,1.6575921625181314,-0.5804756363139068,5.9526220606368145,0.10654519128198614,0.11209239941329495,0.0934816581429609,0.10519891129312084,0.11558829490776226,{'SYCP2_z': 1.0},False,0.34380428533312923,1.751320389896323e-05,0.1603499671655372,0.017777777777777778,7,SYCP2,0.17338244236164332,
Exploratory individual candidate,scarHRD_score,SYCP3_z,225,estimated,,4.776717998229962,1.6796477991343015,1.4667050118200367,8.086730984639889,0.004871027634669542,0.03499822385395712,1.8255441884700518,1.1791929848221439,8.37424301163778,0.009488287077059685,0.20519815489648593,0.0019759904268926254,0.1870781223284998,0.004871027634669558,{'SYCP3_z': 1.0000000000000002},False,0.3749274181385661,9.424625832691438e-05,0.10741168133766821,0.017777777777777778,7,SYCP3,0.014613082904008624,
Exploratory individual candidate,scarHRD_score,MSH4_z,225,estimated,,-0.029422124447006294,1.709833731421346,-3.3989212888095395,3.340077039915527,0.9862863896592737,1.3278066989252935e-06,2.143050343770121,-4.25264348791701,4.193799239022998,0.9890583923810745,0.04909635689382075,0.4636892365990204,-0.0011523049504915152,0.9862863896592723,{'MSH4_z': 1.0},False,0.09987407960484361,9.826317754370344e-06,0.08127569591157663,0.017777777777777778,9,MSH4,0.9862863896592737,
Exploratory individual candidate,scarHRD_score,MSH5_z,225,estimated,,5.92119942051634,1.6632236283533546,2.6435528734301625,9.198845967602516,0.00045306208670229666,0.05377818925013411,1.6101155144128083,2.748210854060119,9.09418798697256,0.00029521429450765125,0.22575318415626375,0.0006458636041218137,0.23190124891887506,0.00045306208670229867,{'MSH5_z': 1.0},False,0.2875448210517114,5.1558311430771515e-05,0.9640171308872332,0.017777777777777778,6,MSH5,0.002038779390160335,
