F_expression_column,candidate_mean_z,candidate_median_z,HORMAD1_z,HORMAD2_z,STAG3_z,REC8_z,SMC1B_z,SYCP2_z,SYCP3_z,MSH4_z,MSH5_z,proliferation_mean_z,previous_proliferation_mean_z,BRCA1_comparison_z,BRCA2_comparison_z,PALB2_comparison_z,RAD51_comparison_z,RAD51B_comparison_z,RAD51C_comparison_z,RAD51D_comparison_z,BRIP1_comparison_z,ATM_comparison_z,CHEK2_comparison_z,STAG2_comparison_z,RAD21_comparison_z,SMC1A_comparison_z,PD_ID,RBA
F2762,-0.2063587364685305,-0.24043993289935162,0.9421219289866652,-0.40814267607370014,0.17027025000548787,-0.2609631250473382,-1.0306021454890817,-0.16429400909493402,-0.07862222968381376,-0.7865566889207083,-0.24043993289935162,0.6968257915009113,0.5924688119113319,-1.0354814895476323,1.9043429881068727,1.0195266874250652,0.8590880745280867,-0.7324300908110031,0.6391022385330722,-0.9674706339847722,0.15804715355316426,-0.23056572401413428,0.5938923137072544,-0.22960346309775442,0.1642542528247291,1.3821895788989362,PD31059a,S000862.l.r.m.c.lib.g.k2.a.t
F665,-0.24420460020295298,-0.4372206621389316,0.8950409452574284,-0.40814267607370014,-0.45260650987018963,-1.7280491412986936,-0.4372206621389316,-0.013217219393386211,1.563205065165003,-0.7865566889207083,-0.8302945145533989,-0.01618513284614614,0.1705374222567838,-1.504071604802156,-0.6964787535946246,0.4288108344725257,-0.1832406041454568,-0.027031092837067273,-0.9606903980084183,0.3824608449904943,0.4401690142998426,-0.316645874687645,0.8167578992411707,0.7066364432904925,0.42306935103378096,-0.9082975634240704,PD31061a,S000901.l.r.m.c.lib.g.k2.a.t
F1484,-0.5297752783412218,-0.40814267607370014,-1.4170278533258562,-0.40814267607370014,-0.7526320339463601,0.7852170355175165,-0.20515384887208007,-1.3320068342153815,-1.2754952147946232,-0.19063920829295375,0.027903128932441946,-1.2500056759755482,-1.1012131346626182,0.29161877559259414,0.3284019086341398,-1.7712899255507724,-1.2532113596408687,-0.33557850562909697,-0.33275513310207977,-0.28289240522868486,-1.6216424071551572,-0.3874661975062874,-1.205655762389258,-2.11768492015286,-1.9265149527779923,-1.0972890810611058,PD31063a,S000927.l.r.m.c.lib.g.k2.a.t
F2772,0.7964345688585126,0.652557589341115,0.6558864310820939,-0.40814267607370014,3.015944369952382,0.802421393132125,0.6076724037471352,0.2611470161466117,1.151045306251754,0.4293792861470961,0.652557589341115,0.4864685952177736,0.6104386357563409,1.0912354787894942,0.5109527968355778,0.8706653590657248,0.5115190270735923,1.4652010736592311,-1.0688400498650388,0.6188128428730827,1.194107713857211,0.25681768858501713,0.21998636991586476,0.5817205265197835,1.0044884333158264,-0.8403583971577605,PD31065a,S000931.l.r.m.c.lib.g.k2.a.t
F672,0.8997756365515043,0.6870042734703363,0.6870042734703363,4.759176375321926,0.776026728443867,0.45204659950781056,0.7708525257719249,0.9789821839520685,0.5756348694761673,-0.7865566889207083,-0.11518613805985284,0.25165289424538373,0.29300815092180504,1.727944758257845,0.7513217500303713,-0.3695838646545123,-0.6216680702255533,-0.45227219023354526,2.3359785799509485,1.6064823762356746,1.952095568098377,1.1597094262997016,-0.7401582262920652,1.1257581371162224,0.9190231577221118,0.07762447234173321,PD31066a,S000938.l.r.m.c.lib.g.k2.a.t
F1488,0.4273830017889532,0.6292220534141658,0.6292220534141658,0.8782466221088966,0.2658450556091958,-0.6396829553642297,0.6917862574255716,0.2753202920286817,1.8651172841776449,1.2848539858858188,-1.4042615791851663,-0.47133521273691553,-0.4056746505127833,-1.1349046033484607,0.5914353978777452,-0.6896656431306397,-0.870928148735694,-0.5228981565267569,0.19780829620763413,-0.20246533279023438,0.2461388247709046,-0.07973046077089674,-0.37285231990208206,0.215494504288387,0.6213631267412305,-0.4390167493816007,PD31067a,S000942.l.r.m.c.lib.g.k2.a.t
F675,-0.16755590814854304,-0.026679954063221798,0.8052941173704893,-0.40814267607370014,-0.4718882592405489,0.07061785350559475,-1.6086955007675123,-1.003250272682339,0.010371667587937635,-0.026679954063221798,1.1243698510264133,0.5061612642209572,0.6926213448827674,0.1778369494826727,1.0397329126329784,-0.2743655279703663,0.6667962844148684,1.2272559860744348,0.2580253159251115,1.8005718023925428,0.7141659360830223,1.187591733913656,1.0930522489217271,0.3327022448218199,1.279726331279788,1.1908751157427349,PD31068a,S000948.l.r.m.c.lib.g.k2.a.t
F1489,-0.4596572576166442,-0.7126292673264364,-1.1469760090424377,-0.40814267607370014,-0.9007200834911434,-0.7126292673264364,0.9003801271671159,1.3505572282394753,-1.2754952147946232,-0.2224439756563161,-1.7214454475717325,0.4674070629329675,-0.11005676491771373,1.2007331099027698,1.3290845211924305,0.3145605154250966,-0.2545011142220868,-0.24757871171315787,-0.9460754012820219,0.07171415755365786,0.5577580524893384,0.4412288583368192,-0.4362597497783104,1.413132227296444,1.6759602942643121,0.9039234910516404,PD31072a,S000970.l.r.m.c.lib.g.k2.a.t
F2781,-0.07645571542327945,0.0904148594173893,0.7782695863744603,-0.40814267607370014,-1.5100324022859233,0.1536914242920172,0.35536268841246915,-0.3784909430622863,-0.18203272532483356,0.4128587494408922,0.0904148594173893,1.0678412109028668,1.1173898553853947,2.2456085725947648,0.6859975022656299,1.0044846350110224,1.3948253193815903,-0.5006874583052866,1.1809901452123797,2.5759875621231543,0.46764216488768373,-2.0029759933840454,1.8721835591065,2.2229399963846954,0.8258529550547409,0.6030575619804006,PD31074a,S000998.l.r.m2.c.lib.g.k2.a.t
F682,-0.7958242465397025,-0.6742958513533376,-1.2876721675317244,-0.40814267607370014,-0.6742958513533376,-1.4257238924123072,-0.17418056177941,-0.5897732592310047,-0.1385523347027468,-0.7865566889207083,-1.6775207868523845,-2.181708901025836,-2.5677787984767835,-0.8223684391463529,-2.568852416087846,-2.1954718934207267,-2.238776771057767,-0.005504422324530796,-1.4999271462851491,-1.0474270377918784,-2.42066452675973,-1.5500956435771385,-1.8266473268372887,-1.2459731533856766,-1.6031281586428334,-1.0472099259829653,PD31075a,S001008.l.r.m.c.lib.g.k2.a.t
