gene,mean,variance,fraction_FPKM_ge_0_1
AB305733,-2.2985727810142116,2.3048909314485693,0.35555555555555557
AB305747,-0.9669670926937488,3.1013131061121535,0.7244444444444444
AB305751,-3.3112404507427446,0.013089177558296788,0.0044444444444444444
AB305752,-0.6715072594750465,4.340634743778118,0.6977777777777778
AB305761,-1.7828710613386975,4.535084752347783,0.3688888888888889
AB305764,-2.6628045464047876,1.3480138205983112,0.2577777777777778
AB305768,-1.4379457081761087,2.343688372929045,0.6488888888888888
AB305778,-0.47877830606674965,2.7094956621717476,0.8577777777777778
AB305865,-2.932935155542341,1.4771001647823705,0.09777777777777778
AB305913,-1.8911146317804712,5.338987635611791,0.29333333333333333
AB306028,0.7163074893489827,2.5735795358421805,0.9555555555555556
AB306029,-1.716717760656147,3.1221101019030333,0.4888888888888889
AB306057,-2.5771373601171264,1.1273787503744985,0.36
AB306059,-0.977152691250154,2.6548862175211547,0.7466666666666667
AB306066,-1.4883114468344254,3.8096743644477615,0.5111111111111111
AB306069,-2.3017268338102848,1.7881552324335404,0.40444444444444444
AB306073,-2.3637725332205157,2.406245764763181,0.28444444444444444
AB306092,-2.7380398990369823,0.9685158851891601,0.26666666666666666
AB306139,0.6395988170844555,20.97104533833529,0.43555555555555553
AB360830,-0.42790847961741446,2.5065765749872098,0.8933333333333333
AB360851,-3.321928094887349,1.232595164407831e-28,0.0
AB372727,-3.2143470857832157,0.6490606312022564,0.017777777777777778
AB429224,-3.3148965119510994,0.003810148977497463,0.0
AB488780,-0.3542446229958322,0.6838503808577525,0.9733333333333334
AB586698,-3.2131191864364848,0.30142238215288775,0.04
AB749836,-1.3037626740374308,3.3951864218780945,0.6
AB749862,-1.3718495885415698,1.9707092088896405,0.7288888888888889
AB749876,0.261202829348216,2.1877966196956833,0.96
AB749892,-1.3975577421910175,2.483559560949029,0.68
AB749902,-1.047317517722678,2.2568992114557047,0.8088888888888889
AB749906,-0.8687817604313411,4.183461774354819,0.64
AB749918,-1.8704644855242882,1.794199802298966,0.5911111111111111
AB776850,-3.321928094887349,1.232595164407831e-28,0.0
ABAT,0.48098352698541696,0.8433137723386982,1.0
ABCA1,2.0456431115426947,0.49358312640096386,1.0
ABCA10,-2.022899793471206,0.7129551476901637,0.5422222222222223
ABCA11P,1.2250332995394535,0.3948806957604867,1.0
ABCA12,-0.926437166111785,5.292887229297832,0.6311111111111111
ABCA13,-1.5591199888326235,2.641644257480629,0.5288888888888889
ABCA17P,-0.8707321734021966,1.6947843062761083,0.8844444444444445
ABCA2,2.5310129611597505,0.5384508400872031,1.0
ABCA3,2.856523760773191,1.5618909260350753,1.0
ABCA4,-1.2089403125621994,2.6133252296403118,0.6844444444444444
ABCA5,0.779989211705574,0.8361277396234715,1.0
ABCA6,-0.017743678115389575,1.211218835385394,0.9822222222222222
ABCA7,1.8954273130740598,0.6472777766773714,1.0
ABCA8,-0.4381358547028482,2.251145123724995,0.9333333333333333
ABCA9,-1.1184302293432642,1.2407304255918976,0.8488888888888889
ABCB1,-0.36400170734886905,1.0842499463466404,0.9733333333333334
ABCB10,2.7536433605894093,0.2958495003962899,1.0
ABCB11,-3.015969558112274,0.2105950463990666,0.057777777777777775
ABCB4,-0.9860910527628576,0.4747806357775177,0.9688888888888889
ABCB5,-1.8346913718350901,0.7923857320529271,0.6711111111111111
ABCB6,2.633144586226902,0.5764183317617229,1.0
ABCB7,2.9565556636787607,0.17635968183173925,1.0
ABCB8,2.956813457093918,0.30291198344601455,1.0
ABCB9,1.5224031329417507,0.8721840632748666,1.0
ABCC1,3.485627264642117,0.48214601581041694,1.0
ABCC10,2.3046664266505434,0.20406652806838407,1.0
ABCC11,-0.38793798272789215,10.340691993177257,0.7466666666666667
ABCC12,-2.8680513126347185,1.0853902728726477,0.14666666666666667
ABCC13,-3.0586521879737267,0.13944207580992415,0.04888888888888889
ABCC2,-1.5815471422067597,2.8616821571552804,0.5466666666666666
ABCC3,1.9615986295933812,1.3582576695595772,1.0
ABCC4,1.6305910689225842,0.9722929692282802,1.0
ABCC5,2.644135314201495,0.5349140856061255,1.0
ABCC5-AS1,-3.0789534372115206,0.284374196149679,0.13333333333333333
ABCC6,-0.8448497738544569,2.3811309747237037,0.8355555555555556
ABCC6P1,-2.9228648540385267,0.4869024942751247,0.14666666666666667
ABCC6P2,-2.1421897815129864,1.560805481340913,0.4711111111111111
ABCC8,-2.4962041184132535,1.2511842870434584,0.26222222222222225
ABCC9,1.3343235729126228,0.8418803498005115,1.0
ABCD1,3.4709313563597393,0.6516982549709162,1.0
ABCD2,-1.342823119941485,0.9403525570617942,0.84
ABCD3,3.8755616647062032,0.3329139538688998,1.0
ABCD4,2.708987940551274,0.23708999275311046,1.0
ABCE1,4.216448865466701,0.27298447156474265,1.0
ABCF1,5.041901253133671,0.2069530358681338,1.0
ABCF2,4.135214398536729,0.2869158498672873,1.0
ABCF3,4.470531412175962,0.1999441525820567,1.0
ABCG1,3.1089914910905554,0.5551716132766636,1.0
ABCG2,-0.36355492696565955,1.0342240411194403,0.9955555555555555
ABCG4,-2.6956349254361838,0.34806000124997494,0.11555555555555555
ABCG5,-2.768273057995721,0.2574137853241585,0.15555555555555556
ABCG8,-3.1336586620321674,0.11680563628880003,0.04
