model,outcome,predictor,N,status,reason,beta,se,ci_low,ci_high,p,r_squared,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,spearman_rho,spearman_p,pearson_r,pearson_p,vif,coefficient_stability_warning,breusch_pagan_p,shapiro_residual_p,reset_quadratic_p,cooks_threshold,influential_n,gene,fdr
Exploratory canonical gene,HRDetect_probability,SMC1A_comparison_z,225,estimated,,0.09387473721255479,0.02986578753420075,0.03501945538590334,0.15273001903920624,0.0018979986214372867,0.042424589468840423,0.027849377557899874,0.03899311177441671,0.14875636265069286,0.0008832469432115594,0.22086388537715973,0.0008505546028155076,0.20597230267402536,0.0018979986214372924,{'SMC1A_comparison_z': 1.0},False,1.4762517626861639e-07,8.454008891186818e-16,0.5038232086563242,0.017777777777777778,2,SMC1A,0.003524854582669247
Exploratory canonical gene,scarHRD_score,BRCA1_comparison_z,225,estimated,,-7.234443353942285,1.639768105106119,-10.465867063960236,-4.003019643924334,1.5953696445267692e-05,0.0802780916656054,1.5816288314366356,-10.35129438332706,-4.11759232455751,7.935414926144464e-06,-0.2958542659002098,6.344494243526204e-06,-0.28333388725248787,1.595369644526793e-05,{'BRCA1_comparison_z': 0.9999999999999998},False,0.07799570066651727,0.00010466820195221173,6.907450379426676e-10,0.017777777777777778,4,BRCA1,3.456634229808e-05
Exploratory canonical gene,scarHRD_score,BRCA2_comparison_z,225,estimated,,8.652450045132118,1.6086697198251967,5.482310646735501,11.822589443528736,1.891543154974195e-07,0.11483254771854179,1.569109065192111,5.5602712052846694,11.744628884979567,9.656079838932872e-08,0.34138854337542246,1.5134882361087477e-07,0.3388695142950185,1.8915431549742092e-07,{'BRCA2_comparison_z': 1.0},False,0.0034715483744391954,0.002934568221115938,0.12764499274726004,0.017777777777777778,7,BRCA2,4.918012202932907e-07
Exploratory canonical gene,scarHRD_score,PALB2_comparison_z,225,estimated,,6.281700358234787,1.6572826184196607,3.01576151561085,9.547639200858724,0.000193621835483677,0.06052589665516506,1.72084604402446,2.8904996813614168,9.672901035108156,0.0003262520327538577,0.26040577039698437,7.72608422002246e-05,0.24602011433044468,0.00019362183548368015,{'PALB2_comparison_z': 1.0},False,0.13263250819125968,0.00011965809760832496,0.5969666540720824,0.017777777777777778,6,PALB2,0.00035958340875540015
Exploratory canonical gene,scarHRD_score,RAD51_comparison_z,225,estimated,,9.428397391780203,1.588994786252895,6.297030577531665,12.559764206028742,1.1220934572309293e-08,0.13635232802280306,1.5397029633234747,6.394167950083394,12.462626833477014,4.085958529431283e-09,0.35016296650801143,6.853691184874605e-08,0.3692591610546757,1.12209345723091e-08,{'RAD51_comparison_z': 1.0},False,0.01560655636412468,0.01022262597929529,0.9097198859825277,0.017777777777777778,6,RAD51,3.6468037360005203e-08
Exploratory canonical gene,scarHRD_score,RAD51B_comparison_z,225,estimated,,2.079135381688353,1.7041568296331335,-1.2791765452954618,5.4374473086721675,0.22373928815527247,0.006630592489519027,1.6881503824753399,-1.247633296772832,5.405904060149538,0.21939364796942584,0.08192271372666388,0.22093153649631062,0.08142845012352354,0.22373928815527258,{'RAD51B_comparison_z': 1.0},False,0.7655141804982262,1.7747624420454133e-05,0.3771804865403986,0.017777777777777778,6,RAD51B,0.22373928815527247
Exploratory canonical gene,scarHRD_score,RAD51C_comparison_z,225,estimated,,6.150818135017021,1.6594826057670051,2.8805438676133175,9.421092402420724,0.0002651734185256377,0.058030000128889925,1.9031685430813778,2.4003219916153995,9.901314278418642,0.0014158344806536793,0.29074450126718787,9.292380525366352e-06,0.24089416790136264,0.0002651734185256405,{'RAD51C_comparison_z': 1.0000000000000002},False,0.000993394130447401,0.00033984301019145,0.001168678328034429,0.017777777777777778,7,RAD51C,0.0004309068051041613
Exploratory canonical gene,scarHRD_score,RAD51D_comparison_z,225,estimated,,3.079089650706418,1.6973569170431209,-0.26582196759899723,6.424001269011833,0.07101405960450542,0.01454224533687365,1.768146141532483,-0.4053233871694828,6.563502688582318,0.08298853522955238,0.1231611853644024,0.06516052950468021,0.12059123242124081,0.07101405960450588,{'RAD51D_comparison_z': 0.9999999999999998},False,0.44813074736159886,2.313071835749626e-05,0.8375266835235207,0.017777777777777778,8,RAD51D,0.07693189790488088
Exploratory canonical gene,scarHRD_score,BRIP1_comparison_z,225,estimated,,11.574150839804032,1.5240778992272128,8.570713070682134,14.57758860892593,8.424935190839458e-13,0.20547787948474983,1.368267146250165,8.877762927230721,14.270538752377343,3.570894642813358e-15,0.44293741050696994,3.1460773568868484e-12,0.45329667932243867,8.424935190839457e-13,{'BRIP1_comparison_z': 1.0},False,0.28888556482339817,0.008399717929329194,0.06385515120514833,0.017777777777777778,6,BRIP1,5.476207874045648e-12
Exploratory canonical gene,scarHRD_score,ATM_comparison_z,225,estimated,,-3.852340190798718,1.6902620600894493,-7.183270265672542,-0.5214101159248945,0.023605112409896923,0.02276334405073166,1.5657344131769964,-6.937868742412883,-0.7668116391845525,0.014637899083159659,-0.14287848108102055,0.03217392331966958,-0.15087525990278142,0.023605112409897194,{'ATM_comparison_z': 1.0000000000000002},False,0.3019419698984621,2.1785183780724023e-05,0.9893306725669265,0.017777777777777778,5,ATM,0.029605542284762254
Exploratory canonical gene,scarHRD_score,CHEK2_comparison_z,225,estimated,,9.802292867286177,1.5788163528814183,6.690984273968395,12.913601460603958,2.5805884164149153e-09,0.14738121997187015,1.4923102049078956,6.861458389639692,12.743127344932661,3.5327101956659076e-10,0.3661471152827187,1.5192951671848e-08,0.3839026178236744,2.5805884164149857e-09,{'CHEK2_comparison_z': 1.0},False,0.011207183348520172,0.0004049608124494087,0.3687849372416454,0.017777777777777778,6,CHEK2,1.1182549804464633e-08
Exploratory canonical gene,scarHRD_score,STAG2_comparison_z,225,estimated,,3.8138423202095098,1.6906535104290015,0.48214083021632614,7.145543810202693,0.025050843471721908,0.022310652215196014,1.5425745568844023,0.7739539469299834,6.853730693489036,0.01416913533083238,0.1326557908099454,0.04686187711650644,0.14936750722696016,0.02505084347172186,{'STAG2_comparison_z': 0.9999999999999998},False,0.13973917020863028,6.947625736553872e-05,0.9070329874543408,0.017777777777777778,9,STAG2,0.029605542284762254
Exploratory canonical gene,scarHRD_score,RAD21_comparison_z,225,estimated,,11.970817635095283,1.5102755525898663,8.994579584054815,14.947055686135752,1.0725867238601165e-13,0.2198034115136277,1.562458976324554,8.89174385246503,15.049891417725537,5.568871572320391e-13,0.47051717940466037,8.522787535100543e-14,0.46883196511503744,1.0725867238600832e-13,{'RAD21_comparison_z': 1.0},False,0.6493662556289738,0.029908258247271145,0.05605359945939673,0.017777777777777778,9,RAD21,1.3943627410181515e-12
Exploratory canonical gene,scarHRD_score,SMC1A_comparison_z,225,estimated,,5.630083455330458,1.6677507283792365,2.3435155380116823,8.916651372649234,0.0008679668269742878,0.048620169011355796,1.6230494651713518,2.431606482912921,8.828560427747995,0.0006272753472390153,0.23065590295973856,0.00048716697921100165,0.22049981635220403,0.0008679668269742987,{'SMC1A_comparison_z': 1.0},False,0.01042651447448698,0.00012570144370203834,0.22534845483520433,0.017777777777777778,7,SMC1A,0.0012537298611850825
